dataset,seed,selector,h,selection_score,ari
Wine,1732,silhouette,1.91746303103,0.28485891919,0.897494981509
Wine,1732,stability,0.0866969925871,1,0.897542251978
Wine,1732,oracle,0.0866969925871,0.897542251978,0.897542251978
Wine,1733,kmeans,nan,nan,0.897494981509
Wine,1733,response,0.120102989764,0.704508835876,0.863611378175
Wine,1733,silhouette,1.91746303103,0.28485891919,0.897494981509
Wine,1733,stability,0.0866969925871,1,0.897542251978
Wine,1733,oracle,0.0866969925871,0.897542251978,0.897542251978
WDBC,1729,kmeans,nan,nan,0.670720647688
WDBC,1729,response,0.120102989764,1.66291180526,0.711667437377
WDBC,1729,silhouette,0.61277741256,0.345172555221,0.682115648839
WDBC,1729,stability,0.271286563081,0.996427438007,0.717821497074
WDBC,1729,oracle,0.23049069134,0.723903842064,0.723903842064
WDBC,1730,kmeans,nan,nan,0.670720647688
WDBC,1730,response,0.120102989764,1.66291180526,0.711667437377
WDBC,1730,silhouette,0.61277741256,0.345172555221,0.682115648839
WDBC,1730,stability,0.23049069134,0.996429730888,0.723903842064
WDBC,1730,oracle,0.23049069134,0.723903842064,0.723903842064
WDBC,1731,kmeans,nan,nan,0.670720647688
WDBC,1731,response,0.120102989764,1.66291180526,0.711667437377
WDBC,1731,silhouette,0.61277741256,0.345172555221,0.682115648839
WDBC,1731,stability,0.0736595632734,0.995182619529,0.669620756097
WDBC,1731,oracle,0.23049069134,0.723903842064,0.723903842064
WDBC,1732,kmeans,nan,nan,0.653624604391
WDBC,1732,response,0.120102989764,1.62586836673,0.711667437377
WDBC,1732,silhouette,1.62911636544,0.343672764775,0.682506749846
WDBC,1732,stability,0.053171554044,0.996351079946,0.634332054106
WDBC,1732,oracle,0.23049069134,0.723903842064,0.723903842064
WDBC,1733,kmeans,nan,nan,0.670720647688
WDBC,1733,response,0.120102989764,1.66291180526,0.711667437377
WDBC,1733,silhouette,0.61277741256,0.345172555221,0.682115648839
WDBC,1733,stability,0.271286563081,0.996427438007,0.717821497074
WDBC,1733,oracle,0.23049069134,0.723903842064,0.723903842064
